                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2020 011    3.42    3.86    3.54    0.00    0.49    0.00    3.00
2020 012    5.52    7.95    8.67    0.00    0.50    0.00    5.91
2020 013    5.55    7.53   10.37    0.00    0.74    0.00    6.25
2020 014    3.80    6.57   10.15    0.00    0.74    0.00    5.35
2020 015    3.52    5.88   10.63    0.00    0.53    0.00    5.19
2020 016    3.70    8.08   10.77    0.00    0.52    0.00    5.78
2020 017    9.95   12.50   20.60    0.00    2.01    0.00   11.51
2020 018    8.81    8.86   17.04    0.04    1.81    7.50    9.45
2020 019    7.45   10.76   19.73    0.06    2.70    7.97   10.09
2020 020    6.29   12.33   24.15    0.42    4.75   20.16   11.30
2020 021    7.42   12.90   23.85    0.42    4.75   20.16   11.77
2020 022    7.35    9.74   18.66    4.73    3.85   72.61   10.34
2020 023    7.35    9.74   18.70    4.84    3.05   72.61   10.30
2020 024    5.13    8.50   14.64    1.01    2.87   50.00    7.78
2020 025    4.11    7.55   12.21    1.64    2.31   40.70    6.59
2020 026    4.22    7.39   11.08    1.27    1.88   37.74    6.25
2020 027    3.70    7.93   12.01    0.59    2.11    8.21    6.25
2020 028    3.05    6.44   11.85    0.59    2.08    8.21    5.63
2020 029    3.20    6.86   15.35    0.38    1.72   11.50    6.58
2020 030    3.40    7.00   15.34    0.38    1.80   11.50    6.69
2020 031    9.83   11.76   17.58    0.43    1.99   11.44   10.67
2020 032    9.07    8.90   15.81    1.09    4.38   28.40    9.62
2020 033    4.58    7.13   13.55    0.09    3.36    2.02    6.78
2020 034    2.65    6.80   11.41    0.00    1.67    0.17    5.34
2020 035    2.62    6.68   12.22    0.00    1.67    0.17    5.50
2020 036    4.93    6.74   12.87    0.00    1.99    0.10    6.54
2020 037    4.43    6.43   12.89    0.00    1.99    0.10    6.29
2020 038    7.17   11.08   20.59    0.13    2.47    5.04   10.24
2020 039    9.06   12.26   27.21    0.75    2.24    4.00   12.81
2020 040    8.26   10.63   23.51    0.62    4.97    1.67   11.45
2020 041   12.50   11.99   22.93    0.52   10.60    2.78   13.57
2020 042    9.84    9.70   22.77    0.52   10.67    2.78   12.05
2020 043    9.68    8.89   16.20    0.64    3.82    2.78    9.75
2020 044   11.03   10.83   17.24    0.64    3.84    2.78   10.93
2020 045   17.60   13.79   29.38    1.91    4.46   57.62   17.27
2020 046   18.03   13.77   29.84    7.52    5.94   70.00   18.22
2020 047   13.38   13.91   22.41    2.79    3.94   70.71   14.19
2020 048   22.56   15.01   22.88    3.98    4.22   65.11   18.01
2020 049   20.49   11.52   22.57    3.50    4.13   72.96   16.38
2020 050   19.47   11.84   21.03    2.80    3.24   46.09   15.47
2020 051   20.28   13.36   27.37    3.62    2.17   47.74   17.63
2020 052   18.29   17.23   30.64    9.63    6.24   73.90   19.52
2020 053   11.22   10.82   17.21    2.59    2.25   52.74   11.25
2020 054    7.63    9.15   15.53    1.15    2.28   46.08    9.00
2020 055    7.20    9.61   16.13    0.24    2.69   39.79    9.02
2020 056    6.89    9.96   16.10    0.25    2.69   43.03    8.99
2020 057    7.57   10.74   16.85    0.25    3.17   43.03    9.63
2020 058    8.20   10.87   17.39    0.00    3.17   18.26    9.90
2020 059   11.47   12.08   25.22    8.11    2.13   54.59   14.05
2020 060   14.04   12.37   32.02   15.90    6.29   65.25   17.76
2020 061   12.18   11.62   32.15   14.07    8.11   77.30   16.95
2020 062    8.77    8.55   25.14    5.87    4.61   68.28   12.28
2020 063    6.87    9.11   24.72    2.92    2.82   64.77   11.19
2020 064    7.54    9.02   21.50    3.10    2.00   64.77   10.60
2020 065    6.78    8.83   16.73    0.80    1.64   23.57    8.74
2020 066   11.00   11.05   21.48    0.27    1.41   19.65   11.83
2020 067   12.52   10.69   20.89    0.39    1.16    5.95   12.11
2020 068   10.25    8.74   17.95    0.30    1.08    7.27   10.13
2020 069    8.40    7.90   17.84    0.48    1.08    7.51    9.26
2020 070    8.00    7.53   13.27    0.00    1.08    1.70    7.87
2020 071    7.93    7.69   13.45    0.00    1.04    1.36    7.92
2020 072    6.97    7.58   13.61    0.00    0.76    0.45    7.56
2020 073    5.51    7.00   11.11    0.00    0.76    0.00    6.30
2020 074    3.42    5.47    9.56    0.00    0.12    0.00    4.77
2020 075    5.18    6.57   11.02    0.00    0.12    0.00    6.01
2020 076    6.00    6.47   13.04    0.00    0.11    0.00    6.77
2020 077    3.94    4.67   10.24    0.00    0.10    0.00    4.94
2020 078    3.87    4.67   10.06    0.00    0.03    0.00    4.87
2020 079    4.20    4.96   10.76    0.00    0.03    0.00    5.22
2020 080    4.81    5.30    9.96    0.00    0.01    0.00    5.33
2020 081    4.14    4.98   10.82    0.00    0.00    0.00    5.21
2020 082   10.13    7.43   14.27    0.00    0.00    0.00    8.78
2020 083    6.10    7.52   13.66    0.00    0.00    0.00    7.18
2020 084    4.78    6.23   11.60    0.00    0.00    0.00    5.92
2020 085    4.78    6.23   11.29    0.00    0.00    0.00    5.84
2020 086    5.11    4.90   11.25    0.00    0.00    0.00    5.66
2020 087    3.85    3.41    9.04    0.00    0.00    0.00    4.33
2020 088    5.33    4.34    9.76    0.00    0.00    0.00    5.25
2020 089    4.89    2.91    8.71    0.00    0.00    0.00    4.52
2020 090    3.39    1.47    7.11    0.00    0.00    0.00    3.27
2020 091    3.38    1.47    7.06    0.00    0.00    0.00    3.25
2020 092    2.59    1.28    6.19    0.00    0.00    0.00    2.71
2020 093    2.45    0.48    5.51    0.00    0.00    0.00    2.32
2020 094    2.11    0.40    5.78    0.00    0.00    0.00    2.24
2020 095    1.85    0.38    5.19    0.00    0.00    0.00    2.00
2020 096    1.70    0.37    4.31    0.00    0.00    0.00    1.73
2020 097    2.02    0.22    4.36    0.00    0.00    0.00    1.83
2020 098    2.05    0.22    4.42    0.00    0.00    0.00    1.85
2020 099    1.87    0.15    4.51    0.00    0.00    0.00    1.79
2020 100    1.42    0.16    3.20    0.00    0.00    0.00    1.31
2020 101    1.28    0.22    1.95    0.00    0.00    0.00    0.98
2020 102    1.29    0.08    1.50    0.00    0.00    0.00    0.85
2020 103    1.35    0.06    1.50    0.00    0.00    0.00    0.87
2020 104    1.27    0.01    1.10    0.00    0.00    0.00    0.73
2020 105    1.20    0.01    0.76    0.00    0.00    0.00    0.62
2020 106    1.14    0.01    0.76    0.00    0.00    0.00    0.60
2020 107    1.06    0.01    0.44    0.00    0.00    0.00    0.49
2020 108    1.09    0.01    0.15    0.00    0.00    0.00    0.44
2020 110    1.28    0.22    1.95    0.00    0.00    0.00    0.98
2020 111    1.07    0.00    0.11    0.00    0.00    0.00    0.42
2020 112    1.05    0.00    0.11    0.00    0.00    0.00    0.41
2020 113    1.00    0.00    0.00    0.00    0.00    0.00    0.37
2020 114    0.99    0.00    0.00    0.00    0.00    0.00    0.36
2020 115    0.98    0.00    0.00    0.00    0.00    0.00    0.36
2020 116    0.98    0.00    0.00    0.00    0.00    0.00    0.36
2020 117    0.98    0.00    0.00    0.00    0.00    0.00    0.36
2020 118    0.96    0.00    0.00    0.00    0.00    0.00    0.35
2020 119    0.95    0.00    0.00    0.00    0.00    0.00    0.35
2020 120    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2020 121    0.92    0.00    0.00    0.00    0.00    0.00    0.34
2020 122    0.92    0.00    0.00    0.00    0.00    0.00    0.33
2020 123    0.88    0.00    0.00    0.00    0.00    0.00    0.32
2020 124    0.84    0.00    0.00    0.00    0.00    0.00    0.31
2020 125    0.55    0.00    0.00    0.00    0.00    0.00    0.20
2020 126    0.55    0.00    0.00    0.00    0.00    0.00    0.20
2020 127    0.30    0.00    0.00    0.00    0.00    0.00    0.11
2020 128    0.11    0.00    0.00    0.00    0.00    0.00    0.04
2020 129    0.08    0.00    0.00    0.00    0.00    0.00    0.03
2020 130    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2020 131    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2020 132    0.01    0.00    0.00    0.00    0.00    0.00    0.00
2020 133    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2020 134    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2020 135    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2020 136    0.00    0.00    0.00    0.00    0.00    0.00    0.00
