                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2017 361    5.37    7.76   16.44   14.47    3.00   62.90    9.45
2017 362    7.14   10.53   21.79   18.45    5.75   78.90   12.63
2017 363   11.14   14.65   24.24   26.36   10.39   89.71   16.73
2017 364    5.36   12.40   25.07   30.02   12.48   93.57   14.82
2017 365    6.51   17.68   32.34   32.60   13.06   93.10   18.45
2018 001    7.66   19.16   30.72   39.52   15.91   98.96   19.69
2018 002    9.88   19.20   31.49   36.01   20.34   98.23   20.69
2018 003    9.15   21.31   33.52   46.78   23.85   98.64   22.65
2018 004    8.63   20.92   30.18   59.38   13.31   99.23   21.99
2018 005   12.33   27.92   37.69   77.59   13.11   97.82   28.40
2018 006   12.86   29.52   38.77   84.22   13.58   97.82   29.86
2018 007   16.41   23.54   34.75   87.24   18.83   97.82   29.52
2018 008   15.20   21.80   29.71   81.26   16.96   97.82   26.79
2018 009    8.61   14.24   26.50   73.80   14.52   99.16   21.04
2018 010    7.83   15.05   20.77   70.36    9.57   99.19   18.88
2018 011    7.80   10.99   21.19   70.48    8.83   99.25   18.02
2018 012    7.95   10.93   21.57   60.89    6.47   99.25   17.07
2018 013   14.45   21.12   30.78   69.27    7.69   99.12   24.82
2018 014   19.65   25.13   33.86   76.24   18.88   98.05   29.82
2018 015   21.76   23.50   35.57   89.79   21.99   99.12   32.14
2018 016   23.77   26.31   42.74   90.93   24.19   99.11   35.48
2018 017   16.50   25.04   44.59   90.52   25.85   99.16   33.06
2018 018   15.13   18.70   33.08   86.30   20.33   99.10   27.59
2018 019   14.19   16.55   32.48   90.91    9.77   99.10   26.28
2018 020    8.38   11.04   25.66   84.76    7.76   99.10   20.56
2018 021    8.96   11.19   24.52   83.79    7.51   99.10   20.43
2018 022    9.00   11.20   27.96   76.80    8.28   99.10   20.67
2018 023    8.65   12.55   27.87   75.65    8.22   99.11   20.71
2018 024   12.97   11.63   36.07   80.67    9.38   99.09   24.59
2018 025   17.60   14.82   43.29   69.76   11.84   92.26   27.85
2018 026   22.14   12.32   35.64   64.79   15.88   90.35   26.95
2018 027    9.10   10.92   29.81   61.14   12.44   90.35   19.88
2018 028    6.49   10.74   19.68   50.71    7.16   90.92   15.11
2018 029   11.06   11.88   27.39   56.98    9.80   93.77   19.67
2018 030   15.30   12.86   36.81   54.87    9.84   91.95   23.48
2018 031   22.16   12.89   34.94   64.10    8.86   92.50   26.35
2018 032   15.74   11.10   32.29   62.73    6.10   86.24   22.61
2018 033   21.80   17.08   44.76   59.07    9.53   96.16   29.09
2018 034   38.03   18.02   46.27   59.92    9.61   96.17   35.68
2018 035   45.49   22.49   54.27   81.25    8.39   96.41   43.23
2018 036   48.39   33.94   62.99   93.44   10.95   96.23   50.28
2018 037   52.70   33.22   58.06   93.08   11.98   96.23   50.56
2018 038   54.54   37.11   72.17   92.76   12.64   96.35   55.49
2018 039   55.63   38.97   63.73   90.42   16.38   99.48   54.36
2018 040   67.50   42.32   73.09   95.07   21.94   99.48   62.53
2018 041   69.78   44.49   76.03   95.07   19.15   99.48   64.35
2018 042   77.11   51.28   81.30   90.67   15.26   93.58   69.09
2018 043   71.36   37.29   78.96   89.09   16.08   92.70   63.19
2018 044   66.98   36.25   80.43   89.93   15.43   99.35   61.76
2018 045   65.64   31.59   69.88   93.30   13.16   99.35   57.85
2018 046   62.28   28.66   69.01   93.27    9.75   99.27   55.51
2018 047   67.10   26.85   59.68   89.43    9.21   99.27   54.24
2018 048   53.60   22.69   56.81   89.77    7.81   99.37   47.61
2018 049   52.56   19.85   43.41   87.24    8.81   94.89   43.21
2018 050   52.86   20.29   41.33   80.19    8.03   94.89   42.21
2018 051   60.50   20.52   48.43   74.29    7.79   94.33   46.17
2018 052   65.58   18.52   41.45   68.90    7.40   86.42   45.35
2018 053   67.06   25.28   47.89   78.69    9.81   87.20   50.05
2018 054   67.97   25.99   48.01   78.07   10.34   87.20   50.55
2018 055   74.56   16.59   39.29   80.22    8.77   87.20   48.84
2018 056   74.88   16.20   30.86   54.87    7.42   54.54   44.27
2018 057   61.24   11.84   30.63   49.33    7.29   60.09   37.73
2018 058   57.48   10.13   26.12   34.76    5.81   40.02   33.35
2018 059   56.53   11.60   23.84   32.75    5.44   28.02   32.53
2018 060   57.12   14.10   27.52   31.02    6.58   68.56   34.26
2018 061   59.39   14.81   28.17   27.79    8.34   27.04   35.07
2018 062   75.68   14.74   26.59   20.97    8.61    0.00   39.91
2018 063   73.49   15.90   22.18   17.45    3.68    0.00   37.62
2018 064   66.82   15.32   22.62   20.04    3.96    0.00   35.43
2018 065   48.47   13.55   22.38   20.53    4.09    0.00   28.32
2018 066   50.32   10.30   19.67   22.09    4.09    0.00   27.76
2018 067   50.48   12.47   22.33   19.88    3.71    0.00   28.71
2018 068   50.38   12.33   19.35   15.76    2.09    0.00   27.43
2018 069   51.67    8.87   17.51   12.75    2.10    0.00   26.40
2018 070   53.91    9.12   17.54   11.92    1.44    0.00   27.16
2018 071   67.34    9.93   17.70   12.45    1.44    0.00   32.33
2018 072   51.94   10.66   21.18   12.19    1.91    0.00   27.71
2018 073   49.33    9.28   16.53   11.88    2.08    0.00   25.32
2018 074   44.94    8.82   20.12   11.88    1.40    0.00   24.42
2018 075   43.89   10.08   16.56   11.89    1.14    0.00   23.45
2018 076   48.44    9.18   15.52   11.80    1.15    0.00   24.66
2018 077   52.78    8.92   15.48   11.80    2.04    0.00   26.24
2018 078   54.47   11.31   19.48   12.43    1.97    0.00   28.40
2018 079   57.31   10.83   19.42   20.64    2.42    0.00   30.12
2018 080   61.06   10.88   19.43   20.97    1.90    0.00   31.50
2018 081   58.70    9.67   17.47   13.46    1.25    0.00   29.14
2018 082   70.33    8.44   14.28   10.91    0.92    0.00   32.09
2018 083   63.56    7.91   13.10   11.65    0.99    0.00   29.29
2018 084   55.32    9.64   14.76   12.87    0.58    0.00   27.15
2018 085   40.21    9.61   13.74   15.73    1.21    0.00   21.70
2018 086   31.60    7.72   13.58   16.70    1.21    0.00   18.18
2018 087   34.07    7.80   12.93   13.63    0.83    0.00   18.63
2018 088   34.23    7.99   13.82   14.94    0.83    0.00   19.06
2018 089   27.37    7.47   12.51   14.25    0.83    0.00   16.06
2018 090   23.16    6.96   10.62   11.32    0.60    0.00   13.67
2018 091   28.12    7.33   10.86    7.73    0.16    0.00   15.25
2018 092   24.49    6.62   11.56    7.28    0.12    0.00   13.89
2018 093   18.88    5.29    9.89    7.72    0.16    0.00   11.18
2018 094   22.06    5.52   11.15    6.80    0.16    0.00   12.61
2018 095   12.72    4.38    9.19    1.34    0.00    0.00    7.95
2018 096   14.74    4.50    8.99    0.92    0.00    0.00    8.63
2018 097   12.14    3.89    9.05    0.59    0.00    0.00    7.53
2018 098   11.62    3.81    9.31    0.47    0.00    0.00    7.37
2018 099   53.15    4.30    9.70    0.63    0.00    0.00   22.76
2018 100   52.95    4.22    9.49    0.74    0.00    0.00   22.63
2018 101   39.10    4.22    9.21    0.55    0.00    0.00   17.48
2018 102   10.48    4.13    8.39    0.55    0.00    0.00    6.81
2018 103   10.06    4.36    8.24    0.55    0.00    0.00    6.67
2018 104   10.28    4.30    8.09    0.74    0.00    0.00    6.73
2018 105   12.34    4.64    8.99    1.08    0.00    0.00    7.80
2018 106    8.13    4.06    8.45    1.08    0.00    0.00    6.00
2018 107    7.23    4.06    9.22    0.46    0.00    0.00    5.80
2018 108    7.18    3.98    9.26    0.00    0.00    0.00    5.73
2018 109    6.71    2.27    9.14    0.00    0.00    0.00    5.14
2018 110    6.43    2.25    8.27    0.00    0.00    0.00    4.83
2018 111    7.50    2.77    8.41    0.00    0.00    0.00    5.37
2018 112    8.60    2.74    8.27    0.02    0.00    0.00    5.73
2018 113    8.18    2.68    7.98    0.03    0.00    0.00    5.50
2018 114    9.22    2.64    8.23    0.03    0.00    0.00    5.93
2018 115    7.97    2.59    8.23    0.00    0.00    0.00    5.46
2018 116    6.31    2.26    7.77    0.00    0.00    0.00    4.67
2018 117    5.28    1.39    7.37    0.00    0.00    0.00    4.00
2018 118    4.36    0.81    7.31    0.00    0.00    0.00    3.52
2018 119    4.34    0.72    7.23    0.00    0.00    0.00    3.47
2018 120    4.59    0.58    7.18    0.00    0.00    0.00    3.52
2018 121    8.02    0.59    6.72    0.00    0.00    0.00    4.67
2018 122    6.84    0.21    6.77    0.00    0.00    0.00    4.16
2018 123    4.85    0.44    6.73    0.00    0.00    0.00    3.48
2018 124    4.36    0.16    6.10    0.00    0.00    0.00    3.08
2018 125    3.20    0.03    5.80    0.00    0.00    0.00    2.56
2018 126    3.20    0.00    5.88    0.00    0.00    0.00    2.57
2018 127    3.24    0.00    5.82    0.00    0.00    0.00    2.57
2018 128    2.97    0.00    4.69    0.00    0.00    0.00    2.20
2018 129    2.90    0.00    4.54    0.00    0.00    0.00    2.14
2018 130    2.18    0.00    3.34    0.00    0.00    0.00    1.59
2018 131    1.81    0.00    0.70    0.00    0.00    0.00    0.83
2018 132    1.30    0.00    0.09    0.00    0.00    0.00    0.50
2018 133    1.23    0.00    0.11    0.00    0.00    0.00    0.48
2018 134    0.72    0.00    0.02    0.00    0.00    0.00    0.27
2018 135    0.65    0.00    0.01    0.00    0.00    0.00    0.24
2018 136    0.50    0.00    0.00    0.00    0.00    0.00    0.18
2018 137    0.27    0.00    0.00    0.00    0.00    0.00    0.10
2018 138    0.06    0.00    0.00    0.00    0.00    0.00    0.02
2018 139    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2018 140    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2018 141    0.00    0.00    0.00    0.00    0.00    0.00    0.00
