                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2017 098    1.56    0.06    3.55    0.00    0.00    0.00    1.43
2017 099    1.58    0.06    3.31    0.00    0.00    0.00    1.38
2017 100    1.49    0.03    3.24    0.00    0.00    0.00    1.33
2017 101    1.32    0.02    3.40    0.00    0.00    0.00    1.30
2017 102    1.05    0.00    1.37    0.00    0.00    0.00    0.71
2017 103    1.30    0.00    0.59    0.00    0.00    0.00    0.61
2017 104    1.27    0.00    0.49    0.00    0.00    0.00    0.58
2017 105    1.00    0.00    0.23    0.00    0.00    0.00    0.42
2017 106    1.00    0.00    0.27    0.00    0.00    0.00    0.43
2017 107    0.92    0.00    0.14    0.00    0.00    0.00    0.37
2017 108    0.46    0.00    0.00    0.00    0.00    0.00    0.17
2017 109    0.45    0.00    0.00    0.00    0.00    0.00    0.16
2017 110    0.47    0.00    0.00    0.00    0.00    0.00    0.17
2017 111    0.19    0.00    0.00    0.00    0.00    0.00    0.07
2017 114    0.01    0.00    0.00    0.00    0.00    0.00    0.00
2017 115    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2017 116    0.00    0.00    0.00    0.00    0.00    0.00    0.00
